Testing with batch size 20, and 27500 iteration
Iterations:   6950, Training Accuracy: 100.0%
Iterations:   7000, Training Accuracy: 100.0%
Iterations:   7050, Training Accuracy: 100.0%
Iterations:   7100, Training Accuracy:  95.0%
Iterations:   7150, Training Accuracy:  95.0%
Iterations:   7200, Training Accuracy: 100.0%
Iterations:   7250, Training Accuracy: 100.0%
Iterations:   7300, Training Accuracy: 100.0%
Iterations:   7350, Training Accuracy: 100.0%
Iterations:   7400, Training Accuracy: 100.0%
Iterations:   7450, Training Accuracy: 100.0%
Iterations:   7500, Training Accuracy:  95.0%
Iterations:   7550, Training Accuracy:  95.0%
Iterations:   7600, Training Accuracy:  95.0%
Iterations:   7650, Training Accuracy: 100.0%
Iterations:   7700, Training Accuracy:  90.0%
Iterations:   7750, Training Accuracy: 100.0%
Iterations:   7800, Training Accuracy:  95.0%
Iterations:   7850, Training Accuracy:  90.0%
Iterations:   7900, Training Accuracy:  95.0%
Iterations:   7950, Training Accuracy: 100.0%
Iterations:   8000, Training Accuracy: 100.0%
Iterations:   8050, Training Accuracy: 100.0%
Iterations:   8100, Training Accuracy: 100.0%
Iterations:   8150, Training Accuracy: 100.0%
Iterations:   8200, Training Accuracy:  95.0%
Iterations:   8250, Training Accuracy: 100.0%
Iterations:   8300, Training Accuracy: 100.0%
Iterations:   8350, Training Accuracy: 100.0%
Iterations:   8400, Training Accuracy:  90.0%
Iterations:   8450, Training Accuracy: 100.0%
Iterations:   8500, Training Accuracy: 100.0%
Iterations:   8550, Training Accuracy: 100.0%
Iterations:   8600, Training Accuracy:  90.0%
Iterations:   8650, Training Accuracy: 100.0%
Iterations:   8700, Training Accuracy: 100.0%
Iterations:   8750, Training Accuracy: 100.0%
Iterations:   8800, Training Accuracy: 100.0%
Iterations:   8850, Training Accuracy: 100.0%
Iterations:   8900, Training Accuracy: 100.0%
Iterations:   8950, Training Accuracy: 100.0%
Iterations:   9000, Training Accuracy:  95.0%
Iterations:   9050, Training Accuracy: 100.0%
Iterations:   9100, Training Accuracy: 100.0%
Iterations:   9150, Training Accuracy: 100.0%
Iterations:   9200, Training Accuracy: 100.0%
Iterations:   9250, Training Accuracy: 100.0%
Iterations:   9300, Training Accuracy:  95.0%
Iterations:   9350, Training Accuracy: 100.0%
Iterations:   9400, Training Accuracy: 100.0%
Iterations:   9450, Training Accuracy: 100.0%
Iterations:   9500, Training Accuracy: 100.0%
Iterations:   9550, Training Accuracy:  95.0%
Iterations:   9600, Training Accuracy: 100.0%
Iterations:   9650, Training Accuracy:  95.0%
Iterations:   9700, Training Accuracy:  95.0%
Iterations:   9750, Training Accuracy: 100.0%
Iterations:   9800, Training Accuracy:  95.0%
Iterations:   9850, Training Accuracy:  95.0%
Iterations:   9900, Training Accuracy: 100.0%
Iterations:   9950, Training Accuracy: 100.0%
Iterations:  10000, Training Accuracy: 100.0%
Iterations:  10050, Training Accuracy:  95.0%
Iterations:  10100, Training Accuracy:  95.0%
Iterations:  10150, Training Accuracy: 100.0%
Iterations:  10200, Training Accuracy: 100.0%
Iterations:  10250, Training Accuracy: 100.0%
Iterations:  10300, Training Accuracy: 100.0%
Iterations:  10350, Training Accuracy: 100.0%
Iterations:  10400, Training Accuracy:  95.0%
Iterations:  10450, Training Accuracy:  95.0%
Iterations:  10500, Training Accuracy:  95.0%
Iterations:  10550, Training Accuracy:  95.0%
Iterations:  10600, Training Accuracy: 100.0%
Iterations:  10650, Training Accuracy: 100.0%
Iterations:  10700, Training Accuracy: 100.0%
Iterations:  10750, Training Accuracy: 100.0%
Iterations:  10800, Training Accuracy: 100.0%
Iterations:  10850, Training Accuracy:  95.0%
Iterations:  10900, Training Accuracy: 100.0%
Iterations:  10950, Training Accuracy:  95.0%
Iterations:  11000, Training Accuracy:  95.0%
Iterations:  11050, Training Accuracy: 100.0%
Iterations:  11100, Training Accuracy:  95.0%
Iterations:  11150, Training Accuracy: 100.0%
Iterations:  11200, Training Accuracy: 100.0%
Iterations:  11250, Training Accuracy: 100.0%
Iterations:  11300, Training Accuracy: 100.0%
Iterations:  11350, Training Accuracy: 100.0%
Iterations:  11400, Training Accuracy: 100.0%
Iterations:  11450, Training Accuracy: 100.0%
Iterations:  11500, Training Accuracy:  95.0%
Iterations:  11550, Training Accuracy: 100.0%
Iterations:  11600, Training Accuracy: 100.0%
Iterations:  11650, Training Accuracy:  95.0%
Iterations:  11700, Training Accuracy: 100.0%
Iterations:  11750, Training Accuracy: 100.0%
Iterations:  11800, Training Accuracy: 100.0%
Iterations:  11850, Training Accuracy: 100.0%
Iterations:  11900, Training Accuracy: 100.0%
Iterations:  11950, Training Accuracy:  90.0%
Iterations:  12000, Training Accuracy: 100.0%
Iterations:  12050, Training Accuracy:  95.0%
Iterations:  12100, Training Accuracy: 100.0%
Iterations:  12150, Training Accuracy: 100.0%
Iterations:  12200, Training Accuracy: 100.0%
Iterations:  12250, Training Accuracy: 100.0%
Iterations:  12300, Training Accuracy: 100.0%
Iterations:  12350, Training Accuracy: 100.0%
Iterations:  12400, Training Accuracy:  95.0%
Iterations:  12450, Training Accuracy:  95.0%
Iterations:  12500, Training Accuracy: 100.0%
Iterations:  12550, Training Accuracy:  95.0%
Iterations:  12600, Training Accuracy:  95.0%
Iterations:  12650, Training Accuracy: 100.0%
Iterations:  12700, Training Accuracy:  90.0%
Iterations:  12750, Training Accuracy: 100.0%
Iterations:  12800, Training Accuracy: 100.0%
Iterations:  12850, Training Accuracy: 100.0%
Iterations:  12900, Training Accuracy:  95.0%
Iterations:  12950, Training Accuracy: 100.0%
Iterations:  13000, Training Accuracy:  95.0%
Iterations:  13050, Training Accuracy: 100.0%
Iterations:  13100, Training Accuracy:  95.0%
Iterations:  13150, Training Accuracy: 100.0%
Iterations:  13200, Training Accuracy: 100.0%
Iterations:  13250, Training Accuracy: 100.0%
Iterations:  13300, Training Accuracy:  95.0%
Iterations:  13350, Training Accuracy: 100.0%
Iterations:  13400, Training Accuracy: 100.0%
Iterations:  13450, Training Accuracy:  95.0%
Iterations:  13500, Training Accuracy: 100.0%
Iterations:  13550, Training Accuracy:  95.0%
Iterations:  13600, Training Accuracy:  95.0%
Iterations:  13650, Training Accuracy:  95.0%
Iterations:  13700, Training Accuracy: 100.0%
Iterations:  13750, Training Accuracy: 100.0%
Iterations:  13800, Training Accuracy: 100.0%
Iterations:  13850, Training Accuracy: 100.0%
Iterations:  13900, Training Accuracy: 100.0%
Iterations:  13950, Training Accuracy:  95.0%
Iterations:  14000, Training Accuracy: 100.0%
Iterations:  14050, Training Accuracy: 100.0%
Iterations:  14100, Training Accuracy:  95.0%
Iterations:  14150, Training Accuracy: 100.0%
Iterations:  14200, Training Accuracy: 100.0%
Iterations:  14250, Training Accuracy: 100.0%
Iterations:  14300, Training Accuracy: 100.0%
Iterations:  14350, Training Accuracy: 100.0%
Iterations:  14400, Training Accuracy: 100.0%
Iterations:  14450, Training Accuracy:  95.0%
Iterations:  14500, Training Accuracy: 100.0%
Iterations:  14550, Training Accuracy:  95.0%
Iterations:  14600, Training Accuracy: 100.0%
Iterations:  14650, Training Accuracy: 100.0%
Iterations:  14700, Training Accuracy:  95.0%
Iterations:  14750, Training Accuracy: 100.0%
Iterations:  14800, Training Accuracy: 100.0%
Iterations:  14850, Training Accuracy: 100.0%
Iterations:  14900, Training Accuracy:  95.0%
Iterations:  14950, Training Accuracy: 100.0%
Iterations:  15000, Training Accuracy: 100.0%
Iterations:  15050, Training Accuracy: 100.0%
Iterations:  15100, Training Accuracy:  90.0%
Iterations:  15150, Training Accuracy: 100.0%
Iterations:  15200, Training Accuracy:  90.0%
Iterations:  15250, Training Accuracy: 100.0%
Iterations:  15300, Training Accuracy:  95.0%
Iterations:  15350, Training Accuracy:  95.0%
Iterations:  15400, Training Accuracy: 100.0%
Iterations:  15450, Training Accuracy: 100.0%
Iterations:  15500, Training Accuracy: 100.0%
Iterations:  15550, Training Accuracy: 100.0%
Iterations:  15600, Training Accuracy:  95.0%
Iterations:  15650, Training Accuracy:  95.0%
Iterations:  15700, Training Accuracy: 100.0%
Iterations:  15750, Training Accuracy: 100.0%
Iterations:  15800, Training Accuracy: 100.0%
Iterations:  15850, Training Accuracy: 100.0%
Iterations:  15900, Training Accuracy: 100.0%
Iterations:  15950, Training Accuracy: 100.0%
Iterations:  16000, Training Accuracy: 100.0%
Iterations:  16050, Training Accuracy: 100.0%
Iterations:  16100, Training Accuracy: 100.0%
Iterations:  16150, Training Accuracy: 100.0%
Iterations:  16200, Training Accuracy: 100.0%
Iterations:  16250, Training Accuracy: 100.0%
Iterations:  16300, Training Accuracy:  95.0%
Iterations:  16350, Training Accuracy: 100.0%
Iterations:  16400, Training Accuracy: 100.0%
Iterations:  16450, Training Accuracy: 100.0%
Iterations:  16500, Training Accuracy: 100.0%
Iterations:  16550, Training Accuracy:  95.0%
Iterations:  16600, Training Accuracy: 100.0%
Iterations:  16650, Training Accuracy: 100.0%
Iterations:  16700, Training Accuracy: 100.0%
Iterations:  16750, Training Accuracy: 100.0%
Iterations:  16800, Training Accuracy: 100.0%
Iterations:  16850, Training Accuracy: 100.0%
Iterations:  16900, Training Accuracy:  95.0%
Iterations:  16950, Training Accuracy:  95.0%
Iterations:  17000, Training Accuracy: 100.0%
Iterations:  17050, Training Accuracy: 100.0%
Iterations:  17100, Training Accuracy: 100.0%
Iterations:  17150, Training Accuracy: 100.0%
Iterations:  17200, Training Accuracy: 100.0%
Iterations:  17250, Training Accuracy: 100.0%
Iterations:  17300, Training Accuracy: 100.0%
Iterations:  17350, Training Accuracy: 100.0%
Iterations:  17400, Training Accuracy:  90.0%
Iterations:  17450, Training Accuracy: 100.0%
Iterations:  17500, Training Accuracy: 100.0%
Iterations:  17550, Training Accuracy: 100.0%
Iterations:  17600, Training Accuracy: 100.0%
Iterations:  17650, Training Accuracy: 100.0%
Iterations:  17700, Training Accuracy: 100.0%
Iterations:  17750, Training Accuracy: 100.0%
Iterations:  17800, Training Accuracy: 100.0%
Iterations:  17850, Training Accuracy: 100.0%
Iterations:  17900, Training Accuracy: 100.0%
Iterations:  17950, Training Accuracy: 100.0%
Iterations:  18000, Training Accuracy: 100.0%
Iterations:  18050, Training Accuracy: 100.0%
Iterations:  18100, Training Accuracy: 100.0%
Iterations:  18150, Training Accuracy:  95.0%
Iterations:  18200, Training Accuracy: 100.0%
Iterations:  18250, Training Accuracy: 100.0%
Iterations:  18300, Training Accuracy: 100.0%
Iterations:  18350, Training Accuracy: 100.0%
Iterations:  18400, Training Accuracy: 100.0%
Iterations:  18450, Training Accuracy: 100.0%
Iterations:  18500, Training Accuracy: 100.0%
Iterations:  18550, Training Accuracy: 100.0%
Iterations:  18600, Training Accuracy: 100.0%
Iterations:  18650, Training Accuracy: 100.0%
Iterations:  18700, Training Accuracy: 100.0%
Iterations:  18750, Training Accuracy: 100.0%
Iterations:  18800, Training Accuracy: 100.0%
Iterations:  18850, Training Accuracy: 100.0%
Iterations:  18900, Training Accuracy: 100.0%
Iterations:  18950, Training Accuracy:  95.0%
Iterations:  19000, Training Accuracy: 100.0%
Iterations:  19050, Training Accuracy: 100.0%
Iterations:  19100, Training Accuracy: 100.0%
Iterations:  19150, Training Accuracy:  90.0%
Iterations:  19200, Training Accuracy: 100.0%
Iterations:  19250, Training Accuracy: 100.0%
Iterations:  19300, Training Accuracy: 100.0%
Iterations:  19350, Training Accuracy: 100.0%
Iterations:  19400, Training Accuracy:  95.0%
Iterations:  19450, Training Accuracy: 100.0%
Iterations:  19500, Training Accuracy:  95.0%
Iterations:  19550, Training Accuracy: 100.0%
Iterations:  19600, Training Accuracy: 100.0%
Iterations:  19650, Training Accuracy: 100.0%
Iterations:  19700, Training Accuracy: 100.0%
Iterations:  19750, Training Accuracy: 100.0%
Iterations:  19800, Training Accuracy:  95.0%
Iterations:  19850, Training Accuracy: 100.0%
Iterations:  19900, Training Accuracy: 100.0%
Iterations:  19950, Training Accuracy: 100.0%
Iterations:  20000, Training Accuracy: 100.0%
Iterations:  20050, Training Accuracy:  90.0%
Iterations:  20100, Training Accuracy: 100.0%
Iterations:  20150, Training Accuracy:  95.0%
Iterations:  20200, Training Accuracy: 100.0%
Iterations:  20250, Training Accuracy:  95.0%
Iterations:  20300, Training Accuracy: 100.0%
Iterations:  20350, Training Accuracy: 100.0%
Iterations:  20400, Training Accuracy: 100.0%
Iterations:  20450, Training Accuracy: 100.0%
Iterations:  20500, Training Accuracy: 100.0%
Iterations:  20550, Training Accuracy:  95.0%
Iterations:  20600, Training Accuracy: 100.0%
Iterations:  20650, Training Accuracy: 100.0%
Iterations:  20700, Training Accuracy: 100.0%
Iterations:  20750, Training Accuracy:  95.0%
Iterations:  20800, Training Accuracy: 100.0%
Iterations:  20850, Training Accuracy: 100.0%
Iterations:  20900, Training Accuracy: 100.0%
Iterations:  20950, Training Accuracy: 100.0%
Iterations:  21000, Training Accuracy:  95.0%
Iterations:  21050, Training Accuracy: 100.0%
Iterations:  21100, Training Accuracy: 100.0%
Iterations:  21150, Training Accuracy: 100.0%
Iterations:  21200, Training Accuracy: 100.0%
Iterations:  21250, Training Accuracy: 100.0%
Iterations:  21300, Training Accuracy: 100.0%
Iterations:  21350, Training Accuracy: 100.0%
Iterations:  21400, Training Accuracy: 100.0%
Iterations:  21450, Training Accuracy: 100.0%
Iterations:  21500, Training Accuracy: 100.0%
Iterations:  21550, Training Accuracy:  95.0%
Iterations:  21600, Training Accuracy: 100.0%
Iterations:  21650, Training Accuracy: 100.0%
Iterations:  21700, Training Accuracy: 100.0%
Iterations:  21750, Training Accuracy: 100.0%
Iterations:  21800, Training Accuracy: 100.0%
Iterations:  21850, Training Accuracy:  95.0%
Iterations:  21900, Training Accuracy: 100.0%
Iterations:  21950, Training Accuracy: 100.0%
Iterations:  22000, Training Accuracy: 100.0%
Iterations:  22050, Training Accuracy: 100.0%
Iterations:  22100, Training Accuracy: 100.0%
Iterations:  22150, Training Accuracy: 100.0%
Iterations:  22200, Training Accuracy: 100.0%
Iterations:  22250, Training Accuracy:  95.0%
Iterations:  22300, Training Accuracy:  95.0%
Iterations:  22350, Training Accuracy: 100.0%
Iterations:  22400, Training Accuracy:  90.0%
Iterations:  22450, Training Accuracy: 100.0%
Iterations:  22500, Training Accuracy: 100.0%
Iterations:  22550, Training Accuracy: 100.0%
Iterations:  22600, Training Accuracy: 100.0%
Iterations:  22650, Training Accuracy: 100.0%
Iterations:  22700, Training Accuracy:  95.0%
Iterations:  22750, Training Accuracy: 100.0%
Iterations:  22800, Training Accuracy: 100.0%
Iterations:  22850, Training Accuracy: 100.0%
Iterations:  22900, Training Accuracy: 100.0%
Iterations:  22950, Training Accuracy: 100.0%
Iterations:  23000, Training Accuracy:  95.0%
Iterations:  23050, Training Accuracy: 100.0%
Iterations:  23100, Training Accuracy: 100.0%
Iterations:  23150, Training Accuracy: 100.0%
Iterations:  23200, Training Accuracy: 100.0%
Iterations:  23250, Training Accuracy: 100.0%
Iterations:  23300, Training Accuracy: 100.0%
Iterations:  23350, Training Accuracy: 100.0%
Iterations:  23400, Training Accuracy: 100.0%
Iterations:  23450, Training Accuracy: 100.0%
Iterations:  23500, Training Accuracy:  90.0%
Iterations:  23550, Training Accuracy: 100.0%
Iterations:  23600, Training Accuracy: 100.0%
Iterations:  23650, Training Accuracy:  95.0%
Iterations:  23700, Training Accuracy: 100.0%
Iterations:  23750, Training Accuracy:  95.0%
Iterations:  23800, Training Accuracy: 100.0%
Iterations:  23850, Training Accuracy: 100.0%
Iterations:  23900, Training Accuracy: 100.0%
Iterations:  23950, Training Accuracy: 100.0%
Iterations:  24000, Training Accuracy: 100.0%
Iterations:  24050, Training Accuracy: 100.0%
Iterations:  24100, Training Accuracy: 100.0%
Iterations:  24150, Training Accuracy: 100.0%
Iterations:  24200, Training Accuracy: 100.0%
Iterations:  24250, Training Accuracy:  95.0%
Iterations:  24300, Training Accuracy: 100.0%
Iterations:  24350, Training Accuracy: 100.0%
Iterations:  24400, Training Accuracy: 100.0%
Iterations:  24450, Training Accuracy: 100.0%
Iterations:  24500, Training Accuracy: 100.0%
Iterations:  24550, Training Accuracy: 100.0%
Iterations:  24600, Training Accuracy:  95.0%
Iterations:  24650, Training Accuracy: 100.0%
Iterations:  24700, Training Accuracy: 100.0%
Iterations:  24750, Training Accuracy: 100.0%
Iterations:  24800, Training Accuracy: 100.0%
Iterations:  24850, Training Accuracy: 100.0%
Iterations:  24900, Training Accuracy: 100.0%
Iterations:  24950, Training Accuracy: 100.0%
Iterations:  25000, Training Accuracy:  95.0%
Iterations:  25050, Training Accuracy: 100.0%
Iterations:  25100, Training Accuracy:  95.0%
Iterations:  25150, Training Accuracy: 100.0%
Iterations:  25200, Training Accuracy: 100.0%
Iterations:  25250, Training Accuracy: 100.0%
Iterations:  25300, Training Accuracy: 100.0%
Iterations:  25350, Training Accuracy: 100.0%
Iterations:  25400, Training Accuracy: 100.0%
Iterations:  25450, Training Accuracy: 100.0%
Iterations:  25500, Training Accuracy: 100.0%
Iterations:  25550, Training Accuracy: 100.0%
Iterations:  25600, Training Accuracy: 100.0%
Iterations:  25650, Training Accuracy: 100.0%
Iterations:  25700, Training Accuracy: 100.0%
Iterations:  25750, Training Accuracy: 100.0%
Iterations:  25800, Training Accuracy: 100.0%
Iterations:  25850, Training Accuracy: 100.0%
Iterations:  25900, Training Accuracy: 100.0%
Iterations:  25950, Training Accuracy: 100.0%
Iterations:  26000, Training Accuracy: 100.0%
Iterations:  26050, Training Accuracy: 100.0%
Iterations:  26100, Training Accuracy: 100.0%
Iterations:  26150, Training Accuracy: 100.0%
Iterations:  26200, Training Accuracy:  95.0%
Iterations:  26250, Training Accuracy: 100.0%
Iterations:  26300, Training Accuracy: 100.0%
Iterations:  26350, Training Accuracy:  95.0%
Iterations:  26400, Training Accuracy: 100.0%
Iterations:  26450, Training Accuracy: 100.0%
Iterations:  26500, Training Accuracy: 100.0%
Iterations:  26550, Training Accuracy: 100.0%
Iterations:  26600, Training Accuracy: 100.0%
Iterations:  26650, Training Accuracy: 100.0%
Iterations:  26700, Training Accuracy: 100.0%
Iterations:  26750, Training Accuracy: 100.0%
Iterations:  26800, Training Accuracy: 100.0%
Iterations:  26850, Training Accuracy: 100.0%
Iterations:  26900, Training Accuracy:  95.0%
Iterations:  26950, Training Accuracy: 100.0%
Iterations:  27000, Training Accuracy: 100.0%
Iterations:  27050, Training Accuracy:  95.0%
Iterations:  27100, Training Accuracy: 100.0%
Iterations:  27150, Training Accuracy: 100.0%
Iterations:  27200, Training Accuracy: 100.0%
Iterations:  27250, Training Accuracy:  95.0%
Iterations:  27300, Training Accuracy:  95.0%
Iterations:  27350, Training Accuracy: 100.0%
Iterations:  27400, Training Accuracy: 100.0%
Iterations:  27450, Training Accuracy: 100.0%
Time usage: 0:01:42
Accuracy on Test-Set: 98.8% (9884 / 10000)
Confusion matrix obtained:
[[ 975    0    0    0    0    1    1    0    2    1]
 [   0 1120    1    1    1    1    1    0   10    0]
 [   2    1 1018    1    2    0    0    4    3    1]
 [   0    0    0 1007    0    1    0    0    0    2]
 [   0    0    0    0  972    0    0    1    1    8]
 [   2    0    0    8    0  879    1    0    0    2]
 [   5    1    0    1    3    6  939    0    3    0]
 [   0    0    4    1    0    0    0 1017    1    5]
 [   1    0    1    5    0    1    0    2  959    5]
 [   0    1    0    3    3    2    0    1    1  998]]
 Testing with batch size 50, and 11000 iteration
Iterations:      0, Training Accuracy:  20.0%
Iterations:     50, Training Accuracy:  44.0%
Iterations:    100, Training Accuracy:  66.0%
Iterations:    150, Training Accuracy:  76.0%
Iterations:    200, Training Accuracy:  86.0%
Iterations:    250, Training Accuracy:  92.0%
Iterations:    300, Training Accuracy:  86.0%
Iterations:    350, Training Accuracy:  90.0%
Iterations:    400, Training Accuracy:  86.0%
Iterations:    450, Training Accuracy:  92.0%
Iterations:    500, Training Accuracy:  92.0%
Iterations:    550, Training Accuracy:  94.0%
Iterations:    600, Training Accuracy:  90.0%
Iterations:    650, Training Accuracy:  90.0%
Iterations:    700, Training Accuracy:  86.0%
Iterations:    750, Training Accuracy:  92.0%
Iterations:    800, Training Accuracy:  94.0%
Iterations:    850, Training Accuracy:  86.0%
Iterations:    900, Training Accuracy:  92.0%
Iterations:    950, Training Accuracy:  96.0%
Iterations:   1000, Training Accuracy:  92.0%
Iterations:   1050, Training Accuracy:  96.0%
Iterations:   1100, Training Accuracy:  92.0%
Iterations:   1150, Training Accuracy:  92.0%
Iterations:   1200, Training Accuracy:  92.0%
Iterations:   1250, Training Accuracy:  84.0%
Iterations:   1300, Training Accuracy:  96.0%
Iterations:   1350, Training Accuracy: 100.0%
Iterations:   1400, Training Accuracy:  90.0%
Iterations:   1450, Training Accuracy:  94.0%
Iterations:   1500, Training Accuracy:  92.0%
Iterations:   1550, Training Accuracy:  94.0%
Iterations:   1600, Training Accuracy:  96.0%
Iterations:   1650, Training Accuracy:  88.0%
Iterations:   1700, Training Accuracy:  96.0%
Iterations:   1750, Training Accuracy:  92.0%
Iterations:   1800, Training Accuracy:  94.0%
Iterations:   1850, Training Accuracy:  92.0%
Iterations:   1900, Training Accuracy:  96.0%
Iterations:   1950, Training Accuracy:  94.0%
Iterations:   2000, Training Accuracy:  94.0%
Iterations:   2050, Training Accuracy:  94.0%
Iterations:   2100, Training Accuracy:  96.0%
Iterations:   2150, Training Accuracy:  98.0%
Iterations:   2200, Training Accuracy:  90.0%
